               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.08133,             0.02997,                   0,             0.40881,             0.38647,             0.27475,            0.054583,            0.071005,            0.020245,                   0,           0.0032813,           0.0032813,            0.070469
                   1,            0.051152,            0.019559,                   0,             0.77758,               0.657,             0.73258,             0.35629,            0.040526,            0.016014,                   0,           0.0062872,           0.0062872,            0.040141
                   2,            0.044236,            0.016678,                   0,             0.83813,             0.69082,             0.77459,             0.40695,             0.03885,            0.014182,                   0,           0.0089631,           0.0089631,           0.0094839
                   3,            0.039064,            0.015291,                   0,             0.88176,             0.73269,             0.82605,             0.44722,            0.034638,             0.01211,                   0,            0.008515,            0.008515,            0.008515
                   4,            0.036625,            0.014702,                   0,             0.84366,             0.72123,             0.79635,             0.39626,             0.03789,            0.013313,                   0,            0.008515,            0.008515,            0.008515
                   5,            0.033992,            0.014012,                   0,             0.92769,             0.76651,             0.86575,             0.49262,            0.033982,             0.01108,                   0,             0.00802,             0.00802,             0.00802
                   6,            0.032621,            0.013922,                   0,             0.92022,             0.76154,             0.85477,             0.48702,            0.032804,            0.011069,                   0,            0.007525,            0.007525,            0.007525
                   7,            0.031783,            0.013446,                   0,             0.92881,             0.75684,             0.86701,             0.51455,            0.032649,            0.011045,                   0,             0.00703,             0.00703,             0.00703
                   8,            0.030759,            0.013057,                   0,             0.91368,             0.80193,             0.89176,              0.5261,            0.031533,            0.010347,                   0,            0.006535,            0.006535,            0.006535
                   9,            0.029944,            0.012868,                   0,              0.8858,             0.82441,             0.88424,             0.52882,            0.030618,            0.010573,                   0,             0.00604,             0.00604,             0.00604
                  10,            0.029099,            0.012703,                   0,             0.90958,             0.80998,             0.88031,             0.52874,            0.029961,            0.010629,                   0,            0.005545,            0.005545,            0.005545
                  11,            0.028733,            0.012456,                   0,             0.93904,             0.79549,             0.87838,             0.51878,            0.031055,            0.010585,                   0,             0.00505,             0.00505,             0.00505
                  12,            0.028035,            0.012152,                   0,             0.92656,             0.79388,             0.89296,             0.54405,             0.02883,             0.01023,                   0,            0.004555,            0.004555,            0.004555
                  13,            0.027337,            0.011899,                   0,             0.90172,             0.84213,             0.90052,             0.53391,            0.029674,            0.010164,                   0,             0.00406,             0.00406,             0.00406
                  14,            0.027153,            0.011859,                   0,             0.90907,             0.83716,             0.89793,             0.54332,            0.029165,            0.010227,                   0,            0.003565,            0.003565,            0.003565
                  15,            0.027163,             0.01187,                   0,             0.90565,             0.83736,             0.89583,             0.54356,            0.030274,              0.0105,                   0,             0.00307,             0.00307,             0.00307
                  16,            0.026036,            0.011737,                   0,             0.90624,             0.84058,             0.90951,             0.55913,             0.02981,            0.010557,                   0,            0.002575,            0.002575,            0.002575
                  17,            0.025595,            0.011579,                   0,             0.93874,             0.81481,             0.89972,             0.55393,            0.029488,            0.010407,                   0,             0.00208,             0.00208,             0.00208
                  18,            0.024887,            0.011089,                   0,             0.92989,             0.83575,             0.90014,             0.55249,            0.029428,            0.010616,                   0,            0.001585,            0.001585,            0.001585
                  19,            0.024873,            0.011176,                   0,             0.96175,             0.80998,             0.90382,             0.55847,            0.029044,            0.010656,                   0,             0.00109,             0.00109,             0.00109
